County,State,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
Apache,Arizona,8297,9196,13196,17765,24095,27767,30438,32298,52108,61591
Cochise,Arizona,9251,34591,46465,40998,34627,31488,55039,61910,85686,97624
Coconino,Arizona,5514,8130,9982,14064,18770,23910,41857,48326,75008,96591
Gila,Arizona,4973,16348,25678,31016,23867,24158,25745,29255,37080,40216
Graham,Arizona,14162,23999,10148,10373,12113,12985,14045,16578,22862,26554
Greenlee,Arizona,,,15362,9886,8698,12805,11509,10330,11406,8008
La Paz,Arizona,,,,,,,,,,13844
Maricopa,Arizona,20457,34488,89576,150970,186193,331770,663510,967522,1509052,2122101
Mohave,Arizona,3426,3773,5259,5572,8591,8510,7736,25857,55865,93497
Navajo,Arizona,8829,11471,16077,21202,25309,29446,37994,47715,67629,77658
Pima,Arizona,14689,22818,34680,55676,72838,141216,265660,351667,531443,666880
Pinal,Arizona,7779,9045,16130,22081,28841,43191,62673,67916,90918,116379
Santa Cruz,Arizona,4545,6766,12689,9684,9482,9344,10808,13966,20459,29676
Yavapai,Arizona,13799,15996,24016,28470,26511,24991,28912,36733,68145,107714
Yuma,Arizona,4145,7733,14904,17816,19326,28006,46235,60827,90554,106895
